id,source_url,project_name,district,address,property_type,tenure,top_year,asking_price,floor_area_sqft,bedrooms,bathrooms,floor_level,monthly_rent_estimate,listing_description,status,created_at
prop_001,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,The Sail @ Marina Bay,1,"2 Marina Boulevard, Singapore 018987",Condominium,99-year leasehold,2008,1850000,883,2,2,High,6800,"Sample listing note: city-centre 2-bedder near Marina Bay with efficient layout, strong tenant appeal, and good access to CBD offices. Check quantum against recent similar-size transactions before shortlisting.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_002,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Marina One Residences,1,"21 Marina Way, Singapore 018978",Apartment,99-year leasehold,2017,2380000,1044,2,2,Mid,7800,"Sample listing note: integrated-development unit near Downtown MRT and Marina Bay. Attractive for professional tenants, but high absolute quantum means yield should be checked carefully.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_003,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Reflections at Keppel Bay,4,"1 Keppel Bay View, Singapore 098402",Condominium,99-year leasehold,2011,2050000,1249,3,3,Mid,7200,"Sample listing note: waterfront project with larger-format layout and resort-style facilities. Consider maintenance cost, project liquidity, and comparison against nearby HarbourFront transactions.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_004,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,The Interlace,4,"180 Depot Road, Singapore 109684",Condominium,99-year leasehold,2013,1780000,1055,2,2,Low,6100,"Sample listing note: distinctive large development with greenery and broad facilities. Good lifestyle appeal, but compare stack, orientation, and travel time to MRT before ranking.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_005,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,D'Leedon,10,"1 Leedon Heights, Singapore 267941",Condominium,99-year leasehold,2014,2250000,1109,3,2,High,7000,"Sample listing note: District 10 project near Farrer Road with broad tenant pool and many comparable transactions. Useful candidate for testing PSF versus recent resale data.",sample_shortlisted,2026-06-10T09:00:00+08:00
prop_006,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,The Trizon,10,"2 Ridgewood Close, Singapore 276696",Condominium,Freehold,2012,2850000,1550,3,3,Mid,7600,"Sample listing note: freehold District 10 unit with larger floor area. Investment case may rely more on capital preservation than yield, so compare against leasehold alternatives.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_007,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Stirling Residences,3,"21 Stirling Road, Singapore 148960",Condominium,99-year leasehold,2022,1620000,764,2,2,High,5800,"Sample listing note: newer Queenstown-area 2-bedder with strong rental catchment and city-fringe location. Check whether asking PSF is supported by recent project transactions.",sample_shortlisted,2026-06-10T09:00:00+08:00
prop_008,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Commonwealth Towers,3,"230 Commonwealth Avenue, Singapore 149739",Condominium,99-year leasehold,2017,1500000,689,2,2,Mid,5400,"Sample listing note: compact city-fringe unit near MRT. Potentially efficient for rental yield, but size and layout should be checked for own-stay comfort.",sample_shortlisted,2026-06-10T09:00:00+08:00
prop_009,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Parc Esta,14,"900 Sims Avenue, Singapore 408966",Condominium,99-year leasehold,2022,1420000,700,2,2,Mid,5000,"Sample listing note: newer project near Eunos with convenient transport access. Good for testing rental-yield screening against a lower quantum city-fringe option.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_010,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Seaside Residences,15,"10 Siglap Link, Singapore 448872",Condominium,99-year leasehold,2021,1680000,807,2,2,High,5600,"Sample listing note: East Coast project near upcoming/nearby rail connectivity and lifestyle amenities. Consider tenant demand, sea-facing premium, and leasehold entry price.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_011,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Amber Park,15,"14 Amber Gardens, Singapore 439960",Condominium,Freehold,2023,2450000,829,2,2,Mid,6500,"Sample listing note: freehold new-generation East Coast project. Strong lifestyle appeal, but rental yield may be compressed by freehold premium and high quantum.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_012,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Sky Vue,20,"1 Bishan Street 15, Singapore 573910",Condominium,99-year leasehold,2016,1580000,678,2,2,High,5200,"Sample listing note: Bishan project near MRT/interchange and shopping amenities. Useful for testing mature-town demand, compact layouts, and rental resilience.",sample_shortlisted,2026-06-10T09:00:00+08:00
prop_013,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,The Minton,19,"10 Hougang Street 11, Singapore 534079",Condominium,99-year leasehold,2013,1360000,980,2,2,Low,4300,"Sample listing note: larger suburban 2-bedder with full condo facilities. Lower PSF may be attractive, but transport access and tenant depth should be compared.",sample_watchlist,2026-06-10T09:00:00+08:00
prop_014,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,J Gateway,22,"2 Gateway Drive, Singapore 608533",Condominium,99-year leasehold,2016,1450000,678,2,2,Mid,5000,"Sample listing note: Jurong East project close to commercial hub and transport nodes. Good candidate for testing regional-centre rental assumptions and resale liquidity.",sample_shortlisted,2026-06-10T09:00:00+08:00
prop_015,https://www.ura.gov.sg/Corporate/Property/Property-Data/Private-Residential-Properties,Eight Riversuites,12,"2 Whampoa East, Singapore 338517",Condominium,99-year leasehold,2016,1320000,700,2,2,Mid,4600,"Sample listing note: city-fringe project near Boon Keng/Kallang area with relatively accessible quantum. Compare against nearby rental contracts and recent resale caveats.",sample_watchlist,2026-06-10T09:00:00+08:00
